Word,Type,Pronunciation,Definition,Sentence,Synonyms,Favor
Consanguineous,adj,con san guin eous,relating to or denoting people descended from the same ancestor; of the same blood or origin,Felt just as close to his adopted brother as he did to his two consanguineous siblings,biological; birth; natural,1
Consanguineous,adj,con san guin e ous,of the same blood or origin,Consanguineous brothers,biological; birth; natural,1
Consanguinity,noun,kun-san-gwin-i-tee,"Consanguinity refers to the quality of being descended from the same ancestor as another person. It is often used in reference to blood relationships, particularly within a family or clan.",The royal family's tradition of marrying within their own consanguinity led to some unfortunate genetic disorders among their children,blood relationship; kinship; lineage; descent; ancestry; family ties,1
Conspicuous,adj,con spic u ous,standing out so as to be clearly visible; attracting notice or attention,"He was very thin, with a conspicusous Adam's apple",clear; visible; noticeable; discernible; perceptible,1
Consternation,noun,con ster nation,"feelings of anxiety or dismay, typically at something unexpected","I always welcomed clover, much to the consternation of the neighbors",dismay; perturbation; distress; disquiet; discomposure,1
Contiguous,adj,con tig yuwus,touching or connected throughout in an unbroken sequence,"The Santa Monica Mountains, a sort of foot-note to the big contiguous ranges, stood off to the southwest of us, discrete and small",abutting; adjacent; adjoining; bordering; conterminous; flanking; flush; fringing; juxtaposed neighboring; skirting; touching; verging,1
Contingent,adj,con tin junt,depending on or conditioned by something else,A plan contingent on the weather,dependent,1
Contraption,noun,kuhn-trap-shuhn,a mechanical device or gadget that is strange or unnecessarily complicated,"The new contraption was supposed to make our work easier, but it ended up causing more problems than it solved",device; apparatus; gadget; mechanism; machine; invention,1
Contrite,adj,kuhn triet,deeply sorrowful and repentant for a wrong,"After three residents were mugged in the lobby while the watchman was away from his post, he felt very contrite.",apologetic; regretful; remorseful,1
Contumacious,adj,kahn tuh may shuhs,rebellious,The contumacious teenager ran away from home when her parents told her she was grounded.,factious; insubordinate; insurgent; mutinous; rebellious; seditious,1
Conviction,noun,kon vik shun,a firmly held belief or opinion,"It was his conviction that if the words in the story were blurred because of the author's insensitivity, carelessness, or sentimentality, then the story suffered from a tremendous handicap",belief; opinion; view; thought; persuasion; idea; position; stance,1
Convoluted,adj,kahn vuh loo tehd,intricate and complicated,"Although many people bought the professor's book, few people could follow its convoluted ideas and theories.",Byzantine; complex; elaborate; intricate; knotty; labyrinthine; perplexing; tangled,1
Corollary,noun,core u scate,a proposition that follows from (and is often appended to)one already proved; something that naturally follows,One corollary of the rise of television was a massive makeover of radio's programming,aftereffect; aftermath; backwash; conclusion; consequence; result; outcome; sequel; sequence,1
Corroborate,verb,kuh rahb uhr ayt,to support with evidence,All the DA needed were fingerprints to corroborate the witness's testimony that he saw the defendant in the victim's apartment,authenticate; back; buttress; confirm; substantiate; validate; verify,1
Cortical,adj,kor te kal,involving or resulting from the action or condition of the cerebral cortex,"The latest is called cortical spreading depression, which referes to a spontaneious electrical wave that travels throgh the brain's cortex",cortical,1
Coruscate,verb,core u scate,(of light) flash or sparkle; to give off or reflect light in bright beams or flashes,"A classic car from the 1950s, replete with yards of coruscating chrome",sparkle; flame; glance; gleam; glimmer; glint; glitter; twinkle,1
Cosset,verb,kah set,to pamper; treat with great care,Marta just loves to cosset her first and only grandchild,cater to; cuddle; dandle; fondle; love; pamper; pet; spoil,1
Coterie,noun,koh tuh ree,an intimate group of persons with a similar purpose,Angel invited a coterie of fellow stamp enthusiasts to a stamp-trading party,clique; set,1
Countermand,verb,coun ter mand,revoke (an order),An order to arrest the strike leaders had been countermanded,revoke; rescind; repeal; withdraw; abolish; overturn; cancel; invalidate; negate; veto,1
Covort,verb,cav ort,jump or dance around excitedly,Spider monkeys leap and cavort in the branches,skip; dance; romp; jig; caper; cut capers; frisk; gambol,1
Crapulous,adj,crap u lous,marked by intemperance especially in eating or drinking,A crapulous wastrel who went through the family's once-fabulous fortune in less than a decade,bibulous; drunken; intemperate; sottish,1
Craven,adj,kray vuhn,lacking courage,"The craven lion cringed in the corner of his cage, terrified of the mouse",fainthearted; spineless; timid,1
Credulous,adj,kreh juh luhs,too trusting; gullible,"Although some 4-year-olds believe in the Tooth Fairy, only the most credulous 9-year-olds also believe in her",naive; susceptible; trusting,1
Crepuscular,adj,cre puss cu lar,"of, relating to, or resembling twilight; occurring or active during twilight",The crepuscular lighting was a prelude to Pugh's raucous after-party in the same venue later that night,black; cloudy; dim; foggy; gloomy; shadowy;,1
Crescendo,noun,kruh shehn doh,steadily increasing in volume or force,The crescendo of tension became unbearable as Evel Knievel prepared to jump his motorcycle over the school buses,acme; capstone; climax; crest; culmen; culmination; meridian; peak,1
Cronyism,noun,cro ny ism,partiality to cronies especially as evidence in the appointment of political hangers-on to office without regard to their qualifications,"To some, Mulvaney’s decision reeks of cronyism: using public service as a launching pad for a lucrative career in the private sector.",chauvinism; favoritism; nepotism; bias; favor; nonobjectivity; partiality; prejudice,1
Cultivate,verb,cul ti vate,prepare and use (land) for crops or gardening; to foster the growth of,Prehistoric peoples settled the area and began to cultivate the land,acquire; develop; form,1
Cumulate,verb,cu mu late,gather together and combine,The systems cumulate data over a period of years,accrue; amass; collect; garner; gather; hive; hoard; pile up; roll up; store up,1
Cupidity,noun,kyoo pih dih tee,greed; strong desire,The thief stared at the shining jewels with cupidity in his gleaming eyes,avarice; covetousness; rapacity,1
Curmudgeon,noun,kuhr mah juhn,"cranky person, usually old",Ernesto was a notorious curmudgeon who snapped at anyone who disturbed him for any reason.,crab; coot; grouch,1
Cursory,adj,cur so ry,rapidly and often superficially performed or produced; HASTY,Only a cursory inspection of the building's electrical wiring was done,dirve-by; flying; hasty; helter-skelter; hurried; precipitate; rash; rushed,1
Cynosure,noun,sine o sure,a person or thing that is the center of attention or admiration,The queen was the cynosure of all eyes,compass; direction; focus,1
Dearth,noun,darth,a scarcity or lack of something,There is a dearth of evidence,lack; scarcity; shortage; shortfall; insufficiency; inadequacy; destitution,1
Debutante,noun,dehb yoo tahnt,young woman making debut in high society,"The debutante spent hours dressing for her very first ball, hoping to catch the eye of an eligible bachelor",lady; maiden,1
Declivity,noun,dih klih vih tee,downward slope,"Because the village was situated on the declivity of a hill, it never flooded",decline; descent; grade; slant; tilt,1
Decorous,adj,deh kuhr uhs,proper; taseful; socially correct; in keeping with good taste and propriety; polite and restrained,"The countess trained her daughters in the finer points of decorous behavior, hoping they would make a good impression when she presented them at Court",appropriate; comme il faut; courteous; polite,1
Decorum,noun,deh kohr uhm,appropriateness of behavior or conduct; prepriety,The countess complained that the vulgar peasants lacked the decorum appropriate for a visit to the palace,correctness; decency; etiquette; manners; mores; propriety; seemliness,1
Deface,verb,dih fays,to mar the appearance of; vandalize,"After the wall was torn down, the students began to deface the statues of Communist leaders of the former Eastern Bloc",disfigure; impair; spoil,1
Deference,noun,deh fuh ruhn(t)s,respect; courtesy,The respectful young law clerk treated the Supreme Court justice with the utmost deference,courtesy; homage; honor; obeisance; respect; reverence; veneration,1
Delate,verb,de late,report (an offense or crime); inform against or denounce (someone),They may delate my slackness to my patron,denounce; report; inform,1
Deleterious,adj,dehl ih teer ee uhs,subtly or unexpectedly harmful,"If only we had known the clocks were defective before putting them on the market, it wouldn't have been quite so deleterious to our reputation",adverse; inimical; injurious; hurtful,1
Deluge,verb,dell uge,inundate with a great quantity of something,We hae been deluged with calls,inundate; overwhelm; overrun; flood; swamp; engulf; bombard,1
Delve,verb,delv,to dig or labor with or as if with a spade; to examine a subject in detail,He tried to delve inside his memory for clues about what had happened.,dig; examine; explore; probe; research,1
Demagogue,noun,deh muh gahg,"a leader or rabble-rouser, usually appealing to emotion or prejudice","He began his career as a demagogue, giving fiery speeches at political rallies",agitator; inciter; instigator,1
Démarche,noun,duh-mahrsh,"an action, step, or maneuver taken to achieve a particular purpose or goal, especially in the realm of diplomacy or foreign relations. It typically involves initiating some kind of discussion, negotiation, or agreement between parties",The ambassador made a démarche to the foreign government in order to discuss trade relations between the two countries,approach; move; action; step; initiative; measure,1
Demotic,adj,de mot ic,popular or common,A more demotic way of speaking,conversational; vernacular; chatty; common; dialectal; everyday; idiomatic,1
Demur,verb,dih muhr,to express doubts or objections,"When scientific authorities claimed that all the planets revolved around the Earth, Galileo, with his superior understanding of the situation, was fored to demure",dissent; expostulate; kick; protest; remonstrate,1
Deride,verb,dih ried,to speak of or treat with contempt; to mock,"The awkward child was often derided by his ""cooler"" peers",gibe; jeer; mock; ridicule; scoff; sneer; taunt,1
Derogatory,adj,de rog a to ry,expressive of a low opinion; disparaging,"In Powell's memoir, Lemann points out, terms like ""expert"" and ""academic"" are clearly derogatory.",belittling; contemptous; degrading; denigratory; disdainful; pejorative; scornful,1
Desiccate,verb,deh sih kayt,to dry out thoroughly,"After a few weeks lying on the desert's baking sands, the cow's carcass became completely desiccated",dehydrate; dry; parch,1
Despot,noun,des pot,"a ruler or other person who holds absolute power, typically one who exercises it in a cruel or oppressive",We must not support such despots by arming them,tyrant; dictator; totalitarian; authoritarian; autocrate; oppressor,1
Despotism,noun,des po tism,oppressive absolute power and authority exerted by government,"An excess of law is despotism, from which free men revolt",absolutism; autarchy; authoritarianism; autocracy; dictatorship; totalitarianism; tyranny,1
Desultory,adj,duhs uhl tohr ee,jumping from one thing to another; disconnected,Ahtena had a desultory academic record; she had changed majors 12 times in 3 years,aimless; disconnected; erractic; haphazard; indiscriminate; objectless; purposeless; random; stray; unconsidered; unplanned,1
Dexterous,adj,dex ter ous,mentally adroit and skillful : Clever,They praised her dexterous handling of the crisis.,clever; cunning; deft; handy,1
Dialectic,noun,die ah lectic,the art of investigating or discussing the truth of opinions,Feminism has of course contributed to the dialectic,discussion; debate; dialogue; reasoning; argumentation,1
Diaphanous,adj,die aaf uh nuhs,allowing light to show through; delicate,These diaphanous curtains do nothing to block out the sunlight,gauzy; sheer; tenuous; translucent; transparent,1
Diatonic,adj,die ah tonic,"of, relating to, or being a musical scale (such as a major or minor scale) comprising intervals of five whole steps and two half steps","Others had dreamed up the piano, diatonic tonality, and the 12-bar blues riff",neutral; achromous; colorless; diatonic,1
Diatribe,noun,die uh trieb,"an abusive, condemnatory speech",The trucker bellow a diatribe at the driver who had cut him off; Verbal attack,fulmination; harangue; invective; jeremiad; malediction; obloquy; tirade,1
Dictum,noun,dihk tuhm,authoritative statement,"""You have time to learn, you have time to clean,"" was the dictum our boss made us live by",adage; apothegm; aphorism; decree; edict,1
Didactic,adj,di dac tic,designed or intended to teach,"For two decades, many Americans, including some early advocates of the Vietnam intervention, have been relentlessly didactic, extracting cautionary lessons from Vietnam",homiletic; moralistic; moralizing; preachy; sententious; sermonic,1
Diffident,adj,dih fih dint,lacking self-confidence,Steve's diffidence during the job interview stemmed from his nervous nature and lack of experience in the field,backward; bashful; coy; demure; modest; retiring; self-effacing; shy; timid,1
Dilate,verb,die layt,to make larger; expand,"When you enter a darkened room, the pupils of your eyes dilate so as to let in more light",amplify; develop; elaborate; enlarge; expand; expatiate,1
Dilatory,adj,dihl uh tohr ee,intended to delay,The congressman used dilatory measures to delay the passage of the bill.,dragging; flagging; laggard; lagging; slow; slow-footed; slow-going; slow-paced; tardy,1
Dilettante,noun,dih luh taunt,someone with an amateurish and superficial interest in a topic,Jerry's friends were such dilettantes they seemed to have new jobs and hobbies every week,amateur; dabbler; superficial; tyro,1
Dirge,noun,duhrj,a funeral hymn or mournful speech,"Melville wrote the poem ""A Dirge for James McPherson"" for the funeral of a Union general who was killed in 1864",elegy; lament,1
Disabuse,verb,dih suh byuze,to set right; free from error,Galileo's observations disabused scholars of the notion that the sun revolved around the Earth,correct; undeceive,1
Discern,verb,dih-zurn,to perceive or recognize something with one's senses or intellect; to distinguish or differentiate between things,She could discern the sound of footsteps approaching from down the hallway,perceive; recognize; detect; differentiate; distinguish,1
Discourse,noun,dis korse,written or spoken communication or debate,"Martha said nothing during my discourse, not helping my confidence",communication; conversation; discussion; essay; lecture; monologue; chat; talk,1
Disdain,noun,dis dane,the feeling that someone or something is unworthy of one's consideration or respect; contempt,McCarthy's indifference to accolades and his disdain for grandstanding ... turned into a disdain even for being understood,contempt; contemptousness; despite; misprision; scorn,1
Disillusion,noun,dis il lu sion,the condition of being disenchanted; the condition of being dissatisfied or defeated in expectation or hope,Working at that store for six months was enough to disillusion me about retail work.,disabuse; disenchant; undeceive,1
Disingenuous,adj,dis in gen u ous,lacking in candor,"But as many fat people know, concern-trolling about fat people's health is hurtful, harmful, and often disingenuous",deceitful; devious; dishonest; false; contrived; forced; bogus; sham; simple; superficial,1
Disparate,adj,dih spuh ruht,fundamentally different; entirely unlike,"Although the twins are physically identical, their personalitites are disparate",different; dissimilar; divergen; diverse; variant; various,1
Dispossess,verb,dis pa zes,"deprive (someone) of land, property, or other possessions",The land was settled by dispossessing the native people who lived here,divest; expropriate; oust,1
Dissemble,verb,dihs sehm buhl,to present a false appearance; to disguise one's real intentions or character,The villain could dissemble to the police no longer--he admitted the deed and tore up the floor to reveal the stash of stolen money,act; affect; assume; camouflage; cloak; counterfeit; cover up; disguise; dissimulate; fake; feign; mask; masquerade; pose; pretend; put on; sham,1
Disseminate,verb,de seme nate,"spread or disperse (something, especially information) widely",Health authorites shoul foster good practice by disseminating information,spread; circulate; distribute; disperse; promulgate; propagate; publicize; communicate,1
Dissonance,noun,dihs uh nuhns,lack of agreement; especially: inconsistency between the beliefs one holds or between one's actions and one's beliefs,Cognitive dissonance is the inner conflict produced when long-standing beliefs are contradicted by new evidence,clash; contention; discord; dissension; dissent; dissidence; friction; strife; variance,1
Distaff,noun,dis-taf,the female branch of a family,"The lazy husband refused to cook dinner for his wife, joking that the duty belongs to the distaff's side",matrilineage; mother's side; matriarchy; maternal,1
Distend,verb,dih stehnd,"to swell, inflate, or bloat",Her stomach was distended after she gorged on the six-course meal,broaden; bulge,1
Dither,verb,dihth uhr,to act confusedly or without clear pupose,"Ellen dithered around her apartment, uncertain how to tackle the family crisis",falter; hesitate; vacillate; waffle; waver,1
Diurnal,adj,die uhr nuhl,existing during the day; daily; of each day,Diurnal creatures tend to become inactive during the night,daylight; daytime; quotidian,1
Divine,verb,dih vien,to discover by intuition or insight,The fortune-teller divined from the pattern of the tea leaves that her customer would marry five times,auger; foresee; intuit; predict; presage,1
Docile,adj,dah cile,ready to accept control o instruction; submissive,The docile children do everything he asks of them,compliant; conformable; docile; obedient; submissive; tractable,1
Doctrinaire,adj,dahk truh nayr,rigidly devoted to theories without regard for practicality; dogmatic,The professor's manner of teaching was considered doctrinaire for such a liberal school,dogmatic; inflexible; rigid; uncompromising; opinionated; impractical,1
Doctrine,noun,doc trine,a principle or position or the boy of principles in a branch of knowledge or system of belief: Dogma,The government was founded on a doctrine of equality for all people.,canon; dogma,1
Dogma,noun,dohg muh,"a firmly held opinion, especially a religious belief",Linus's central dogma was that children who believed in the Great Pumpkin would be rewarded,creed; doctrines; teaching; tenet,1
Dogmatic,adj,dahg maat ihk,dictatorial in one's opinions,"The dictator was dogmatic, claiming he, and only he, was right ",authoritarian; bossy; dictatorial; doctrinaire; domineering; imperious; magisterial; masterful; overbearing; peremptory,1
Dolorous,adj,doh-luh-ruhs,"something that is mournful, sorrowful, or expressing great sadness or distress",The dolorous melody of the funeral march brought tears to everyone's eyes,grievous; mournful; doleful; woeful; sad; melancholy; dolorific; pitful,1
Draconian,adj,dra konean,(of laws or their application) excessively harsh and severe,Some diplomats said the Americans would never accept the draconian cuts proposed by China and Russia,harsh; severe; strict; extreme; drastic; stringent; tough,1
Droll,adj,drohl,"amusing in a wry, subtle way; curious or unusual in a way that provokes dry amusemen","Although the play couldn't be described as hilarious, it was certainly droll",comic; entertaining; funny; risible; witty,1
Due,noun,do,A person's right; what is owed to someone; an obligatory payment; a fee,He attracts more criticism than is his due,rightful treatment; fee; subscription; charge,1
Dupe,verb,doop,to deceive; a person who is easily deceived,Bugs Bunny was able to dupe Elmer Fudd by dressing up as a lady rabbit,beguile; betray; bluff; cozen; deceive; delude; fool; hoodwink; humbug; mislead; take in trick,1
Dyspeptic,adj,dihs pehp tihk,suffering from indigestion; gloomy and irritable,The dyspeptic young man cast a gloom over the party the minute he walked in,acerbic; melancholy; morose; solemn; sour,1
Dystopian,adj,dys to pi an,relating to or denoting an imagined state or society where there is great suffering or injustice,The dystopian future of a society bereft of reason,antiutopian; apocalyptic ,1
Ebullient,adj,ih byool yuhnt,exhilarated; full of enthusiasm and high spirits,"The ebullient child exhausted the baby-sitter, who lacked the energy to keep up with her",ardent; avid; bubbly; zestful,1
Eccentric,adj,ee cent ric,(of a person or their behavior) unconventional and slightly strange,My favorite aunt is very eccentric,unconventional; uncommon; abnormal; irregular; add; strange; peculiar; weird; bizarre,1
Eclectic,adj,ih klehk tihk,selecting from or made up from a variety of sources,Budapest's architecture is an eclectic mix of eastern and western styles,broad; catholic; selective,1
Edify,verb,eh duh fie,to instruct and improve especially in moral and religious knowledge,The guru was paid to edify the actress in the ways of Buddhism,educate; enlighten; guide; teach,1
Efficacy,noun,ef-i-kuh-see,"the ability of something, such as a drug or a treatment, to produce a desired effect or result",The efficacy of the new drug was confirmed by several clinical trials,effectiveness; efficiency; potency; power; strength; success; usefulness; productivity,1
Effigy,noun,eh fuh jee,stuffed doll; likeness of a person,"In England, effigies of the historic rebel Guy Fawkes are burned in commemoration of his life",dummy; figure; image,1
Effrontery,noun,ih fruhnt uhr ee,impudent boldness; audacity,The receptionist had the effrontery to laugh out loud when the CEO tripped over a computer wire and fell flat on his face,brashness; gall; nerve; presumption; temerity,1
Elation,noun,e la tion,great happiness and exhilaration,Richard's elation at regaining his health was short-lived,happiness; exhilaration; joy; joyousness; delight; glee,1
Elegy,noun,eh luh jee,"a sorrowful peom or speech; a poem of serious reflection, typically a lament for the dead.","Though Thomas Gray's Elegy is about death and loss, it urges its readers to endure this life, and to trust in spirituality",direge; lament,1
Eloquent,adj,ehl uh kwunt,"persuasive and moving, especially in speech",The Gettysburg Address is moviong not only because of its lofty sentiments but because of its eloquent words,articulate; expressive; fluent; meaningul; significant; smooth-spoken,1
Elucidate,verb,elu ci date,to make something clear or to explain it in a clear and easy-to-understand way,The teacher asked the student to elucidate the meaning of the poem so that the rest of the class could understand it better,clarify; clear (up); construe; demonstrate; demystify; explain; illuminate; simplify; spell out,1
Embellish,verb,ehm behl ihsh,to add ornamental or fictitious details,"Britt embellished her resume, hoping to make the lowly positions she had held seem more important",adorn; bedeck; elaborate; embroider; enhance; exaggerate,1
Embezzle,verb,em bezel,steal or misappropriate (money placed in one's trust or belonging to the organizatino for wich one works),"She had embezzled $5,600,000 in company funds",misappropriate; steal; rob; theive; pilfer; appropriate; abstract; pocket; take,1
Emollient,adj,e mol lient,having the quality of softening or soothing the skin,An emollient cream,moisturizing; palliative; balsamic,1
Emolument,noun,e mal u ment,"a salary, fee, or profit from employment or office",The annual emolument for the director of the charity is officially only one dollar,salary; pay; payment; earnings; allowance; reward,1
Emote,verb,e mote,(especially of an actor) portray emotion in a theatrical manner,The actors would emote for the camera,fawn; drool; effuse; enthuse; fuss; gush; rave; rhapsodize; sentimentalize; slobber,1
Emphatic,adj,em fa tic,Showing or giving emphasis; expressing something forcibly and clearly,The children were emphatic that they would like to repeat the experience,vehement; firm; wholehearted; forceful; forcible; energetic; vigorous; direct; assertive; insistent,1
Empirical,adj,im pir i kel,originating in or based on observation or experience,"Eventually, access to electron microscopes and X-ray diffraction technology provided the necessary empirical evidence to test the hypotheses, and the jigsaw pieces began to fall into place",checkable; confirmable; demonstrable; provable; supportable; sustainable; verifiable,1
Emulate,verb,ehm yuh layt,to copy; to try to equal or excel,"The graduate student sought to emulate his professor in every way, copying not only how she taought but also how she conducted ehrslef outside of class",ape; imitate; simulate,1
Encomium,noun,ehn koh me uhm,warm priase,"Georgias's ""Encomium to Helen"" was written as a tribute to Helen of Troy",citation; eulogy; panegyric; salutation; tribute,1
Encroach,verb,en croach,intrude on (a person's territory or a thing considered to be a right),Rather than encroach on his privacy she might have kept to her room,intrude; trespass; impinge; butt in; barge in; cut in; obtrude,1
Endemic,adj,en-DEM-ik,something that is regularly found and confined to a certain geographic region or population. It can also refer to a disease or condition that is prevalent in a specific region or group of people,Malaria is endemic to certain parts of Africa and Asia,native; local; regional; prevalent; widespread,1
Enervate,verb,ehn uhr vayt,to reduce in strength,The guerrillas hoped that a series of surpise attacks would enervate the regular army,debilitate; enfeeble; sap; weaken,1
Engender,verb,ehn gehn duhr,"to produce, cause, or bring about",His fear and hatred of clowns was engendered when he witnessed a bank robbery carried out by five men wearing clown suits and make-up,beget; generate; procreate; proliferate; reproduce; spawn,1
Enigma,noun,ih nig muh,a puzzle; a mystery,"Speaking in riddles and dressed in old robes, the artist gained a reputation as something of an enigma",conundrum; perplexity,1
Enigmatic,adj,en-ig-mat-ik,"mysterious, puzzling, difficult to understand or interpret",The meaning behind the painting was enigmatic and left the art critics scratching their heads,mysterious; cryptic; puzzling; inexplicable; inscrutable,1
Ensue,verb,in su,"to happen as a result of something, to follow in sequence, or to come after something","After the argument, a long siliece ensued",follow; succeed; supplant; supervene,1
Enumerate,verb,ih noo muhr ayt,"to count, list, or itemize","Before making his decision, Jacob asked the waiter to enumerate the differnet varieties of ice cream that the restaurant carried",catalog; index; tabulate,1
Ephemeral,adj,ih fehm uhr uhl,lasting a short time,"The lives of mayflies seem ephemeral to us, since the flies' average life span is a matter of hours",evanescent; fleeting; momentary; transient,1
Epicure,noun,eh pih kyoor ,person with refined taste in food and wine,Niren is an epicure who always throws the most splendid dinner parties,bon vivant; connoisseur; gastronome; gastronomist; gourdmand; gourmet,1
Epithet,noun,ep i thet,an adjective or descriptive phrase expressing a quality characteristic of the person or thing mentinoed; an epithet as a term of abuse,"Old men are often unfairly awarded the epithet ""dirty.""",sobriquet; nickname; byname; title; name; label,1
Epitome,noun,eh pid o mee,A person or thing that is a perfect example of a particular quality or type,She looked the epitome of elegance and good taste,personification; embodiment; incarnation; paragon,1
Eponymous,adj,e pon y mous,(of a person) giving their name to something; named after a particular person,Her slouchy leather black kitten heel boots are from Neil J. Rodgers' eponymous line,eponymic; onymous; nominative; titular,1
Equanimity,noun,equa nimity,"mental calmness, composure, and evenness of temper, especially in a difficult situation.","His equanimity and empathy does not extend to the rest of his colleagues, who quickly set up a sniper to take her out.",calmness; collectedness; composedness; composure; cool; coolness; countenance; equilibrium; imperturbability; placidity; repose,1
Equivocal,adj,e quiv o cal,open to more than one interpretation; ambiguous; uncertain or questionable in nature,The equivocal nature of her remarks,ambiguous; ambivalent; dubiuos; evasive; puzzling; unclear; vague,1
Equivocate,verb,ih kwihv uh kayt,to use expressions of double meaning in order to mislead,"When faced with criticism of his policies, the politician equivocated and left all parties thinking he agreed with them",ambiguous; evasive; waffling,1
Eradicate,verb,e rad i cate,destroy completely; put an end to ,This disease has been eradicated from the world,get rid of; eliminate; do away with; remove; suppress,1
Ergo,adverb,err go,therefore,"She was the sole beneficiary of the will, ergo the prime suspect",therefore; consequently; so; as a result; hence; thus; accordingly; on that account,1
Erratic,adj,ih raat ihk,wandering and unpredictable,The plot seemed predictable until it suddenly took a series of erratic turns that surprised the audience,capricious; inconstant; irresolute; whimsical,1
Ersatz,adj,uhr sats,"(of a product) made or used as a substitute, typically an inferior one, for something else; fake","Edda, a fashion maven, knew instantly that her friend's new Kate Spade bag was really an ersatz version purchased on the street",artificial; dummy; fulse; imitation; mock; sham; simulated; spurious; substitute,1
Erudite,adj,ehr yuh dite,learned; scholarly; bookish,"The annual meeting of philosophy professors was a gathering of the most erudite, well-published individuals in the field",learned; scholastic; wise,1
Eschew,verb,ehs choo,to shun; to avoid (as something wrong or distasteful),"The filmmaker eschewed artificial light for her actors, resulting in a stark movie style",avoid; bilk; elude; escape; evade; shuh; shy,1
Esoteric,adj,ih suh tehr ihk,known or understood only by a few,Only a handful of experts are knowledgeable about the esoteric world of particle physics,abstruse; arcane; obscure,1
Espouse,verb,es pouz,"adopt or support (a cause, belief, or way of life)",He turned his back on the modernism he had espoused in his youth,adopt; emprace; take up; accept; welcome,1
Estimable,adj,eh stuh muh buhl,admirable; worthy of great respect,Most people consider it estimable that Mother Teresa spent her life helping the poor of India,admirable; commendable; creditable; honorable; laudable; meritorious; praiseworthy; respectable; venerable; worthy,1
Ethereal,adj,ih-THEER-ee-uhl,"extremely delicate, light, airy, or heavenly. It can refer to something that is intangible, otherworldly, or spiritual in nature. It can also describe something that is very subtle or faint",The dancer's movements were so ethereal that it seemed as if she were floating on air.,delicate; airy; light; heavenly; celestial; otherworldly; intangible; subtle; faint; insubstantial,1
Ethnocentrism,noun,eth no centrism,characterized by or based on the attitude that one's own group is superior,The review was criticized for its ethnocentric bias,fanaticism; jingoism; nationalism; narrowness,1
Ethos,noun,ee thohs,beliefs or character of a group,It is the Boy Scouts' ethos that one should always be prepared,culture; ethic; philosophy,1
Etiology,noun,ee tee ology,cause; origin; specifically: the cause of a disease or abnormal condition,"Although no clear etiologies for this cluster exist, occupational exposures possibly contributed",cause; origin,1
Etymology,noun,eh-tuh-mol-uh-jee,"the study of the origin and history of words, including their meanings and development over time","The etymology of the word ""computer"" can be traced back to the Latin word ""computare,"" meaning ""to calculate",word history; word origin; linguistic history,1
Eulogy,noun,yoo luh jee,speech in praise of someone,"His best friend gave the eulogy, outlining his many achievements and talents",commen; extol; laud,1
Euphemism,noun,yoo fum ih zuhm,use of an inoffensive word or phrase in place of a more distasteful one,"The funeral director preferred to use the euphemism ""sleeping"" instead of the word 'dead'.",nice-nellyism,1
Euphony,noun,yoo fuh nee,"pleasant, harmonious sound","To their loving parents, the children's orchestra performance sounded like euphony, although an outside observer probably would have called it a cacophony of hideous sounds",harmony; melody; music; sweetness,1
Evince,verb,i vints,to display clearly : reveal,"Smith’s self-portraits through the years evince a preoccupation with the constructs of femininity, the gaze, race, color, and beauty.",bespeak; betry; communicate; declare; demonstrate; display; expose; give away; manifest; reveal; show,1
Eviscerate,verb,e vis er ate,disembowel (a person or animal),The goat had been skinned and neatly eviscerated,disembowel; gut; draw; dress,1
Exacerbate,verb,ihg zaas uhr bayt,to make worse,It is unwise to take aspirin to try to relieve heartburn since instead of providing relief it will only exacerbate the problem,aggravate; annoy; intensify; irritate; provoke,1
Exculpate,verb,ehk skuhl payt,to clear from blame; prove innocent,The legal system is intended to convict those who are guilty and exculpate those who are innocent,absolve; acquit; clear; exonerate; vindicate,1
Exhortation,noun,ig-zawr-tey-shuhn,"the act of urging, advising, or encouraging someone to do something. It is a passionate and insistent urging to take action, typically used in a formal or religious context",The coach's exhortation to his team to never give up inspired them to come back and win the game,encouragement; persuasion; urging; admonition; appeal,1
Exigent,adj,ehk suh juhnt,urgent; requiring immediate action,Teh patient was losing blood so rapidly that it was exigent to stop the source of the bleeding,critical; imperative; needed; urgent,1
Existential,adj,ex is ten tial,"concerned with existence, especially human existence as viewed in the theories of existentialism",Child psychologist Bruno Bettelheim believed that fairy tales help children cope with their existential anxieties and dilemmas,empirical; experiential; experimental; objective; observational,1
Exonerate,verb,ihg zahn uh rayt,to clear of blame,The fugitive was exonerated when another criminal confessed to committing the crime,absolve; acquit; clear; exonerate; vindicate,1
Expedite,verb,eks-puh-dahyt,To make something happen more quickly or to do something with greater efficiency and promptness,We need to expedite the delivery process so that our customers receive their orders on time,accelerate; hasten; facilitate; speed up; quicken; fast-track,1
Explicate,verb,ex pli cate,to give a detailed explanation of ,The physicist did his best to explicate the wave theory of light for the audience of laymen,clarify; clear (up); construe; demonstrate; demystify; explain; illuminate; simplify; spell out,1
Explicit,adj,ehk splih siht,clearly stated or shown; forthright in expression,"In Reading Comprehension, questions that ask directly about a detail in the passage are sometimes called Explicit Text questions",candid; clear-cut; definite; definitive; express; frank; specific; straightforward; unambiguous; unequivocal,1
Exponent,noun,ehk spoh nuhnt,one who champions or advocates,The vice president was an enthusiastic exponent of computer technology,representative; supporter,1
