Word,Type,Pronunciation,Definition,Sentence,Synonyms,Favor
Penury,noun,pehn yuh ree,an oppresive lack of resources (as money); severe poverty,"Once a famous actor, he eventually died in penury and anonymity",destitution; impoverishment,
Peregrinate,verb,peh ruh gruh nayt,"to wander from place to place; to travel, especially on foot",Shivani enjoyed peregrinating the expansive ground of Central Park,journey; traverse; trek,
Permeate,verb,puhr mee ayt,to penetrate,This miraculous new cleaning fluid is able to permeate stains and dissolve them in minutes,imbue; infuse; pervade; suffuse,1
Pervade,verb,puhr vayd,(especially of a smell) spread through and be perceived in every part of; to permeate,"Fourspices--cumin, turmeric, coriander, and cayeene--pervade almost every Indian dish, and give the cuisine its distinctive flavor",imbue; infuse; penetrate; permeate; suffuse,1
Philistine,noun,fihl uh steen,a person who is guided by materialism and is disdainful of intellectual or artistic values,The philistine never even glanced at the rare violin in his collection but instead kept an eye on its value and sold it at a profit,boor; bourgeois; capitalist; clown; lout; materialist; vulgarian,1
Phlegmatic,adj,flehg maa tihk,calm and unemotional in temperament,"Although the bomb could go off at any moment, the phlegmatic demolition expert remained calm and unafraid",apathetic; calm; emotionless; impassive; indifferent; passionless; unemotional,1
Pithy,adj,pih thee,"profound or substantial yet concise, succinct, and to the point",Martha's pithy comments during the interview must have been impressive because she got the job,brief; compact; laconic; terse,1
Placate,verb,play cayt,to soothe or pacify,"The burglar tried to placate the snarling dog by referring to it as a ""nice doggy"" and offering it a treat",appease; conciliate; mollify,1
Plastic,adj,plaa stihk,"able to be molded, altered, or bent",The new material was very plastic and could be formed into products of vastly different shape ,adaptable; ductile; malleable; pliant,1
Plebeian,adj,plee bee uhn,crude or coarse; characteristic of commoners; (Rome) a commoner,"After five weeks of rigorous studying, the graduate settled in for a weekend of plebeian socializing and television watching",conventional; unrefined,1
Plethora,noun,pleh thor uh,excess,"Assuming that more was better, the defendant offered the judge a plethora of excuses",glut; overabundance; superfluity; surfeit,1
Plucky,adj,pluh kee,courageous; spunky,"The plucky young nurse dove into the foxhole, determined to help the wounded soldier",brave; bold; gutsy,1
Polyglot,noun,pah lee glaht,a speaker of many languages,Ling's extensive travels have helped her to become a true polyglot,linguist,1
Pragmatic,adj,praag maa tihk,"practical, as opposed to idealistic","While idealistic gamblers think they can get rich by frequenting casinos, pragmatic gamblers realize that the odds are heavily stacked against them",rational; realisic,1
Prescient,adj,preh shuhnt,having foresight,"Jonah's decision to sell the apartment seemed to be a precient one, as its value soon dropped by half",augural; divinatory; mantic; oracular; premonitory,
Probity,noun,proh bih tee,complete honesty and integrity,Georeg Washington's reputation for probity is illustrated in the legend about his inability to lie after he chopped down the cherry tree,integrity; moriality; rectitude; uprightness; virtue,1
Proclivity,noun,proh clih vuh tee,a natural inclination or predisposition,"Her childhood love of acting, singing, and adoration indicated a proclivity for the theater in later life",bias; leaning; partiality; penchant; predilication; predisposition; prejudice; prepensity,1
Prodigal,adj,prah dih guhl,lavish; wasteful,The prodigal son quickly wasted all of his inheritance on a lavish lifestyle devoted to pleasure,extravagant; lavish; profligate; spendthrift; wasteful,1
Pugilism,noun,pyoo juhl ih suhm,boxing,Pugilism has been defended as a positive outlet for aggressive impulses,fighting; sparring,
Pungent,adj,puhn juhnt,sharp and irritating to the sense,The smoke from the burning tires was extremely pungent,acrid; caustic; piquant; poignant; stinging,1
Quiescent,adj,kwie eh sihnt,motionless,"Many animals are quiescent over the winter months, minimizing activity in order to conserve energy.",dormant; latent,1
Quotidian,adj,kwo tih dee uhn,occurring daily; commonplace ,The sight of people singing on the street is so quotidian in New York that passersby rarely react to it,everyday; normal; usual,1
Rejoinder,noun,rih joyn duhr,response,"Patrick tried desperately to think of a clever rejoinder to Marianna's joke, but he couldn't ",retort; riposte,
Repast,noun,rih paast,meal or mealtime,Ravi prepared a delicious repast of chicken tikka and naan,banquet; feast,
Replete,adj,rih pleet,abundantly supplied; complete,The gigantic supermarket was replete with consumer products of every kind,abounding; full,1
Repose,noun,rih pohz,relaxation; leisure,"After working hard every day in the busy city, Mike finds his repose on weekends playing golf with friends",calmness; tranquility,1
Repudiate,verb,ree pyoo dee ayt,to reject the validity of ,The old woman's claim that she was Russian royalty was repudiated when DNA tests showed she was of no relation to them,deny; disavow; disclaim; disown; renounce,1
Rococo,adj,ruh koh koh,very highly ornamented; relating to an 18th century artistic style of elaborate ornamentation,The ornate furniture in the house reminded Tatiana of the rococo style ,intricate; ornate,
Rustic,adj,ruh stihk,rural; ralating to the countryside,The rustic cabin was an ideal setting for a vacation in the country,bucolic; pastoral,1
Sacrosanct,adj,saa kroh saankt,extremely sacred; beyond criticism,Many people considered Mother Teresa to be sacrosanct and would not tolerate any criticism of her,holy; inviolable; off-limits,1
Sagacious,adj,suh gay shuhs,shrewd; wise,"Owls have a reputation for being sagacious, perhaps because of their big eyes, wihch resemble glasses",astute; judicious; perspicacious; sage; wise,1
Salient,adj,say lee uhnt,prominent; of notable significance,His most salient characteristic is his tendency to dominate every conversation,marked; noticeable; outstanding,1
Salubrious,adj,suh loo bree uhs,healthful,"Rundown and sickly, Rita hoped that the fresh mountain air would have a salubrious effect on her health",bracing; curative; medicinal; therapeutic; tonic,
Sardonic,adj,sahr dah nihk,cynical; scornfully mocking,Isabella was offended by the sardonic way in which her date made fun of her ideas and opinions,acerbic; caustic; sarcastic; satirical; snide,
Satiate,verb,say shee ayt,to satisfy fully or overindulge,His desire for power was so great that nothing less than complete control of the country could satiate it,cloy; glut; gorge; surfeit,1
Scintilla,noun,sihn tihl uh,trace amount,This poison is so powerful that no more than a scintilla of it is needed to kill a horse,atom; iota; mote; spark; speck,1
Sedition,noun,sih dih shuhn,behavior that promotes rebellion or civil disorder against the state,Li was arrested for sedition after he gave a fiery speech in the main square,conspiracy; insurrection,1
Seraphic,adj,seh rah fihk,angelic; sweet,"Selena's seraphic appearance belied her nasty, bitter personality",cherubic; heavenly,
Solecism,noun,sah lih sishz uhm,grammatical mistake; blunder in speech,"""I ain't going with you,"" she said, obviously unaware of her solecism",blooper; faux pas; vulgarism,1
Soporific,adj,sahp uhr ihf ihk,causing sleep or lethargy,The movie proved to be so soporific that soon loud snores were heard throughout the cinema,hypnotic; narcotic; slumberous; somnolent,1
Stentorian,adj,stehn tohr ee yehn,extremely loud,Cullen couldn't hear her speaking over the stentorian din of the game on TV,clamorous; noisy,1
Stigma,noun,stihg mah,a mark of shame or discredit,"In the Scarlet Letter, Hester Prynne was required to wear the letter A on her clothes as a public stigma for her adultery.",blemish; blot; opprobrium; stain; taint,1
Sully ,verb,suh lee,to tarnish; taint,"With the help of a public relations firm, he was able to restore his sullied reputation",besmirch; defile; blemish,1
Supplant,verb,suh plaant,to replace (another) by force; to take the place of,The overthrow of the government meant a new leader to supplant the tyrannical former one,displace; supersede,1
Surfeit,noun,suhr fit,excessive amount,"Because of the surfeit of pigs, pork prices have never been lower",glut; plethora; repletion; superfluity; surplus,1
Surly,adj,suhr lee,rude and bad-tempered,"When asked to clean the windshield, the surly gas station attendant tossed a dirty rag at the customer and walked away",gruff; grumpy; testy,1
Sybarite,noun,sih buh riet,a person devoted to pleasure and luxury,"A confirmed sybarite, the nobleman fainted at the thought of having to leave his palace and live in a small cottage",hedonist; sensualist,
Sycophant,noun,sih kuh fuhnt,a self-serving flatterer; yes-man,"Dreading criticism, the actor surrounded himself with admirers and sycophants",bootlicker; fawner; lickspittle; toady,1
Symbiosis,noun,sihm bee oh sihs,cooperation; mutual helpfulness,"The rhino and the tick-eating bird live in symbiosis; the rhino gives the bird food in the form of ticks, and the bird rids the rhino of parasites",association; interdependence,1
Tacit,adj,taa siht,done without using words,"Although not a word was said, everyone in the room knew that a tacit agreement had been made about what course of action to take",implicit; implied; undeclared; unsaid; unuttered,1
Talon,noun,taa luhn,"claw of an animal, especially a bird of prey",A vulture holds its prey in its talons while it dismembers it with its beak,claw; nail,
Tawdry,adj,taw dree,"guady, cheap, or showy","The performer changed into her tawdry, spangled costume and stepped out onto the stage to do her show",flashy; loud; meretricious,1
Terrestrial,adj,tuh reh stree uhl,earthly; down-to-earth; commonplace,"Many ""extraterrestrial"" objects turn out to be terrestrial in origin, as when flying saucers turn out to be normal airplanes.",earthbound; mundane; sublunary; tellurian; terrene,1
Tirade,noun,tie rayd,"long, harsh speech or verbal attack",Observers were shocked at the manager's tirade over such a minor mistake,diatribe; fulmination; harangue; obloquy; revilement; vilifacation,1
Toady,noun,toh dee,one who flatters in the hope of gaining favors,The king was surrounded by toadies who rushed to agree with whatever outrageous thing he said,parasite; sycophant,1
Tome,noun,tohm,"book, usually large and academic",The teacher was forced to refer to various tomes to find the answer to the advanced student's question,codex; volume,1
Transitory,adj,trahn sih tohr ee,temporary; lasting a brief time,"The reporter lived a transitory life, staying in one place only long enough to cover the current story",ephemeral; evanescent; fleeting; impermanent; momentary,1
Trenchant,adj,trehn chuhnt,"acute, sharp, or incisive; forceful; effective",Tyrone's trenchant observations in class made him the professor's favorite student,biting; caustic; cutting; keen,1
Tyro,noun,tie roh,beginner; novice,"An obvious tyro at salsa, Millicent received no invitations to dance",apprentice; fledgling; greenhorn; neophyte; tenderfoot,
Unconscionable ,adj,uhn kahn shuhn uh buhl,unscrupulous; shockingly unfair or unjust,"After she promised me the project, the fact that she gave it to someone else is unconscionable",dishonorable; indefensible,1
Upbraid,verb,uhp brayd,to scold sharply,The teacher upbraided the student for scrawling graffiti all over the walls of the school,berate; chide; rebuke; reproach; tax,1
Vacillate,verb,vaa sihl ayt,to physically sway or to be indecisive,The customer held uup the line as he vacillated betweeen ordering chocolate-chip or rocky-road ice cream,dither; falter; fluctuate; oscillate; waver,1
Venerable,adj,veh nehr uh buhl,respected because of age,All of the villagers sought the enerable old woman's advice whenever they had a problem,distinguished; elderly; respectable,1
Verdant,adj,vuhr duhnt,green with vegetation; inexperienced,He wandered deep into the verdant woods in search of mushrooms and other edible flora,grassy; leafy; wooded,1
Vernal,adj,vuhr nuhl,related to spring; fresh,"Bea basked in the balmy vernal breezes, happy that winter was coming to an end.",springlike; youthful,1
Vestige,noun,veh stihj,a trace; remnant,"Vestiges of the former tenant still remained in the apartment, though he hadn't lived there for years.",relic; remains; sign,1
Vituperate,verb,vih too puhr ayt,to abuse verbally; berate,Vituperating someone is never a constructive way to effect change,castigate; reproach; scold,
Volatile,adj,vah luh tuhl,easily aroused or changeable; lively or explosive,His volatile personality made it difficult to predict his reaction to anything,capricious; erractic; fickle; inconsistent; inconstant; mercurial; temperamental,1
Wan,adj,wahn,sickly pale,"The sick child had a wan face, in contrast to her rosy-cheeked sister",ashen; sickly,
Waver,verb,way vuhr,to fluctuate between choices,"If you waver too long before making a decision about which testing site to register for, you may not get your first choice.",dither; falter; fluctuate; oscillate; vacillate,1
Whimsical,adj,wihm sih cuhl,lightly acting in a fanciful or capricious manner; unpredictable,"The ballet was whimsical, delighting the children with its imaginative characters and unpredictable sets",capricious; erratic; flippant; frivolous,1
Wily,adj,wie lee,clever; deceptive,"Yet again, the wily coyote managed to elude the ranchers who wanted to capture it",crafty; cunning; tricky,1
Wraith,noun,rayth,a ghost or specter; a ghost of a living person seen just before his or her death,Gideon thought he saw a wraith late one night as he sat vigil outside his great uncle's bedroom door,apparition; bogeyman; phantasm; shade; spirit,1
Zeal,noun,zeehl,passion; excitement,"She brought her typical zeal to the project, sparking enthusiasm in the other team members",ardency; fervor; fire; passion,1
Zealot,noun,zeh luht,someone passionately devoted to a cause,The religious zealot had no time for those who failed to share his strong beliefs,enthusiast; fanatic; militant; radical,1
Zenith,noun,zee nihth,the point of culmination; peak,The diva considered her appearance at the Metropolitan Opera to be the zenith of her career,acme; pinnacle,1
